address	city	county	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
401 E 65Th St, Hialeah, Fl 33013	Hialeah	Miami-Dade	Drive-Thru	Monday Through Saturday From 9 A.M. To 5 P.M. By Appointment Only	No	"Free Drive-Thru Testing Is Available To People Aged 65 Years Or Older Who Are Experiencing Symptoms Of Covid-19. Appointments Are Required. No Walk-Ins, Mopeds, Or Bicycles Are Permitted. Only Two People Are Allowed In The Car At The Testing Site — One Driver And One Passenger. If Both Have Appointments, Both Will Be Tested.
 Residents Are Asked To Enter The Park Through The Entrance On Palm Avenue At 65Th Street. Testing Will Take Place At The Rotunda Near The Entrance. 401 E. 65Th St., Hialeah; 305-268-4319."	-	-	Amelia Earhart Park	305-268-4319	Florida	Https://Www.Miaminewtimes.Com/News/Miami-Drive-Thru-Coronavirus-Testing-Where-To-Get-Tested-For-Covid-19-11605465	33013	25.86	-80.27
9501 Biscayne Blvd., Aventura	Aventura	Miami-Dade	Drive-Thru	Open Weekdays From 9 A.M. To 5 P.M. By Appointment	No	First Responders And Seniors Aged 65 Or Older Are Given Priority At This Appointment-Only Testing Site. The Drive-Thru Is Located Inside The Aventura Mall North Parking Garage, Near The Apple Store. Open Weekdays From 9 A.M. To 5 P.M. By Appointment Only Via Covidaventura.Com.	-	-	Aventura Mall Parking Garage	-	Florida	Https://Www.Miaminewtimes.Com/News/Miami-Drive-Thru-Coronavirus-Testing-Where-To-Get-Tested-For-Covid-19-11605466	33138	25.85	-80.18
1350 Nw 50Th St, Miami, Fl 33142	Miami	Miami-Dade	Drive-Thru	By Appointment	No	Residents 55 And Older Can Request An Appointment By Calling 305-960-5050.	-	-	Charles Hadley Park	305-960-5050.	Florida	Https://Www.Tomsguide.Com/News/Drive-Through-Coronavirus-Testing-Locations-Where-To-Go-In-Your-State#Washington-Coronavirus-Drive-Through-Testing	33142	25.8	-80.23
450 W. Davis Pkwy Florida City	Florida City	Miami-Dade	Drive-Thru	Open Tuesday And Thursday From 10 A.M. To 1 P.M.	No	Anyone With Symptoms, Including Minors Accompanied By A Parent, Can Be Tested. No Appointments Are Required.	-	-	Community Health Of South Florida — Florida City	-	Florida	Https://Www.Miaminewtimes.Com/News/Miami-Drive-Thru-Coronavirus-Testing-Where-To-Get-Tested-For-Covid-19-11605467	33034	25.43	-80.5
10300 Sw 216 St, Miami, Fl 33190	Miami	Miami-Dade	Drive-Thru	By Appointment Only.	No	Appointments Available Only After Pre-Screening By A Doctor. Patients Can Call 305-252-4820.	-	-	Community Health Of South Florida, Inc.	-	Florida	-	33190	25.56	-80.35
591 Ne 79Th Street, Miami, Fl 33138	Miami	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33138	25.85	-80.18
12701 Sw 42Nd Street, Miami, Fl 33175	Miami	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33175	25.74	-80.41
8740 Bird Road, Miami, Fl 33165	Miami	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33165	25.74	-80.36
10701 Nw 41St Street Doral, Fl 33178	Doral	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33178	25.85	-80.37
2780 Ne 8Th Street Homestead, Fl 33033	Homestead	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33033	25.48	-80.41
10300 Sw 216Th St., Miami, Fl 33190	Miami	Miami-Dade	Drive-Thru	9Am - 12Pm, Monday - Friday; By Appointment Only	No	Those Who Wish To Be Tested Must First Be Pre-Screened By A Primary Care Physician Or The State Health Department. If A Patient Meets The Guidelines Provided By The Centers For Disease Control And Prevention, Then That Patient Will Be Tested.	-	-	Doris Ison Health Center	(305) 252-4820	Florida	Https://Www.Chisouthfl.Org/	33190	25.56	-80.35
1475 West 49Th Place, Hialeah, Fl 33012	Hialeah	Miami-Dade	Drive-Thru	9Am-5Pm, Daily	No	Testing At This Site Will Currently Prioritize First Responders And Healthcare Workers. Once Those Tests Are Complete, Only Those Showing Symptoms Of Covid-19 Who Also Fill Out An Online Screening Application Will Be Able To Get Tested. Details Of How To Access The Application Will Be Made Available Shortly.	-	-	Larkin Community Hospital	305-558-2500	Florida	Https://Www.Miamiherald.Com/News/Coronavirus/Article241422246.Html	33012	25.87	-80.3
627 Nw Sixth Ave., Florida City	Florida City	Miami-Dade	Drive-Thru	Open Tuesday And Thursday From 10 A.M. To 1 P.M.	No	Testing Is Available To Anyone Who Has Traveled To A High-Risk Country Or Had Contact With Someone Who Has Covid-19, As Well As Anyone With A Fever, Cough, Or Shortness Of Breath. No Appointments Are Required, And There Are No Age Restrictions. Tests Will Be Administered On A First-Come, First-Served Basis; Appointments Are Not Necessary.	-	-	Loren Roberts Park	-	Florida	Https://Www.Miaminewtimes.Com/News/Miami-Drive-Thru-Coronavirus-Testing-Where-To-Get-Tested-For-Covid-19-11605468	33034	25.43	-80.5
501 Marlins Way, Miami Fl 33125	Miami	Miami-Dade	Drive-Thru	By Appointment Only	No	Testing At This Site Is By Appointment Only. People 65 And Older With Possible Covid-19 Symptoms Will Be Able To Be Tested. To Make An Appointment, Call 305-499-8767.	-	-	Marlins Park	(305) 499-8767	Florida	Https://Www.Miamiherald.Com/News/Coronavirus/Article241422246.Html	33125	25.78	-80.24
10 W. Mowry Dr., Homestead	Homestead	Miami-Dade	Drive-Thru	Open Monday And Wednesday From 10 A.M. To 1 P.M.	No	Testing Is Available For Those Who Have Recently Traveled To A High-Risk Country And For Those Who Have Been In Contact With Someone Who Has Tested Positive For Covid-19. Tests Will Be Administered On A First-Come, First-Served Basis; Appointments Are Not Necessary.	-	-	Martin Luther King Jr. Clinica Campesina Health Center	-	Florida	Https://Www.Miaminewtimes.Com/News/Miami-Drive-Thru-Coronavirus-Testing-Where-To-Get-Tested-For-Covid-19-11605469	33030	25.48	-80.51
621 Collins Ave., Miami Beach	Miami Beach	Miami-Dade	Drive-Thru	The Call Center Is Open From 9 A.M. To 5 P.M. Daily Except Saturday; Testing Runs From 10 A.M. To 6 P.M. On The Same Schedule	No	Medrite Urgent Care Offers Drive-Thru Testing To People Of Any Age Who Exhibit Symptoms Of Covid-19 And To All Frontline Workers, Including First Responders, Healthcare Workers, And Employees Of Essential Businesses, Such As Grocery Stores And Pharmacies. Prescreening And Appointments Are Required. Testing Previously Cost $125 But Is Now Free.	-	-	Miami Beach Municipal Parking Lot	305-735-3909	Florida	Https://Www.Miaminewtimes.Com/News/Miami-Drive-Thru-Coronavirus-Testing-Where-To-Get-Tested-For-Covid-19-11605470	33140	25.82	-80.15
1201 Nw 16Th St,  Fl 33125	Miami	Miami-Dade	Hospital	Open 24Hrs	No	Those Who Wish To Be Tested Must First Be Pre-Screened By A Primary Care Physician Or The State Health Department. If A Patient Meets The Guidelines Provided By The Centers For Disease Control And Prevention, Then That Patient Will Be Tested.	-	-	Miami Va Medical Center	(305) 575-7000	Florida	Https://Www.Miami.Va.Gov/	33125	25.78	-80.24
Southwest 107Th Avenue At Southwest 20Th Street, Miami	Miami	Miami-Dade	Drive-Thru	Open Daily At 9 A.M. By Appointment Only.	No	Testing Is Available To Anyone Aged 18 Or Older Who Is Experiencing Symptoms Associated With Covid-19. Three Hundred Appointments Are Available Each Day. The Call Center Opens At 9 A.M. And Will Schedule Appointments For The Following Day Until All Of The Slots Are Filled.	-	-	Miami-Dade County Fairgrounds	305-499-8767.	Florida	Https://Www.Miaminewtimes.Com/News/Miami-Drive-Thru-Coronavirus-Testing-Where-To-Get-Tested-For-Covid-19-11605471	-	-	-
10710 Sw 211Th St., Cutler Bay	Cutler Bay	Miami-Dade	Drive-Thru	The Call Center Is Open From 9 A.M. Until Appointment Slots For The Next Day Are Filled.	No	Drive-Thru Testing Is Available Daily For Anyone Aged 18 Years Or Older Experiencing Symptoms Of Covid-19. Appointments Are Required	-	-	South Dade Government Center	305-499-8767.	Florida	Https://Www.Miaminewtimes.Com/News/Miami-Drive-Thru-Coronavirus-Testing-Where-To-Get-Tested-For-Covid-19-11605472	33189	25.57	-80.34
347 Don Shula Drive, Miami Gardens, Fl 33056	Miami Gardens	Miami-Dade	Drive-Thru	9Am-5Pm, Monday-Friday	No	Testing Will Be Limited To Only Two Groups: First Responders And People Over 65 Experiencing Symptoms Of Covid-19. You Must Bring Your Id With You In Order To Be Tested. Anyone With Questions Can Call The State'S Dept. Of Health At 1-866-779-6121.	-	-	Fema/Nat'L Guard/Fl Dept Of Health (Hard Rock Stadium)	(866) 779-6121	Florida	Https://Www.Local10.Com/News/Local/2020/03/20/Map-Shows-Drive-Through-Testing-Locations-In-Florida/	33056	25.95	-80.24
690 N. W. 57Th Avenue	Miami	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33126	25.78	-80.3
1825 N.E. 185Th Street	North Miami Beach	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33179	25.96	-80.18
3395  West 68Th Street	Hialeah	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33018	25.91	-80.38
19800 Nw 2Nd Avenue	Miami	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33169	25.94	-80.21
15700 S.W. 88Th Street	Miami	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33196	25.6	-80.6
14705 Sw 42Nd Street	Miami	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33185	25.72	-80.45
1230 West 29Th Street	Hialeah	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33012	25.87	-80.3
7199 Sw  117Th Avenue	Kendall	Miami-Dade	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33183	25.7	-80.41
200 Ocean, 36Th St Marathon, Fl 33050	Marathon	Monroe	Drive-Thru	By Appointment Only	No	This Testing Site Is Open To Monroe County Residents Only. Those Feeling Covid-19 Symptoms Should Call To Make An Appointment. You Will Be Screened By A Medical Professional When You Call And You Will Be Given The Next Steps If They Believe You Meet The Cdc Criteria For Testing.	-	-	Marathon Community Park	(305) 252-4820	Florida	Https://Www.Miamiherald.Com/News/Coronavirus/Article241422246.Html	33050	25.0	-82.0
2805 Overseas Hwy, Marathon, Fl 33050	Marathon	Monroe	Drive-Thru	By Appointment Only	No	Testing At This Site Is Only For Monroe County Residents Who Are Feeling Covid-19 Symptoms And Have Made An Appointment By Calling (305) 252-4820. You Will Be Screened For Symptoms And Then Be Given An Appointment For Testing.	-	-	Marathon Health Center	(305) 743-4000	Florida	Https://Pma-Physicians.Com/	33050	25.0	-82.0
463941 E State Road 200, Yulee, Fl 32097	Yulee	Nassau	Urgent Care	8Am-8Pm, 7 Days A Week	-	"Visitor Guidelines And Risk Screening
Visitation Procedures Are Designed For The Protection Of Our Patients And Employees.

-For Your Safety And The Safety Of Our Caregivers, Masks Are Required For Everyone Entering The Building.
-Upon Entry To The Building, Everyone Will Be Screened.
-If Symptomatic You And Any Accompanying Individual Will Be Asked To Put On A Face Mask Before Approaching The Front Desk.
-Patients Over The Age Of 18 Who Do Not Require Assistance Of A Caregiver Are Asked To Enter The Practice Alone.
-For Patients Under The Age Of 18 We Ask That Only One Parent Or Guardian Accompany The Patient To Their Appointment."	-	-	Carespot Urgent Care - Yulee	(904) 479-1489	Florida	Https://Www.Carespot.Com/Carespot-Urgent-Care/Yulee-Fl/	32097	30.6	-81.6
Destin Medical Park, 36500 Emerald Coast Parkway, On The Okaloosa-Walton County Line	Destin	Okaloosa	Drive-Thru	9Am-1Pm, Mondays And Wednesdays.	No	Interested Persons Who Want To Get Tested For The Virus Must First Call A Designated Call Center First For A Phone Screening. The Number Is 850-746-2684. The Call Center Will Be Open From 8 A.M. To 10 P.M., Monday Through Friday.	-	-	Ascension Medical Group Sacred Heart	-	Florida	Https://Www.Thedestinlog.Com/News/20200416/Covid-19-Drive-Thru-Testing-Sites-Coming-To-Bay-County-Destin	32541	30.4	-86.46
106 North Parrot Avenue	Okeechobee	Okeechobee	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	34972	27.5	-80.9
3840 E State Road 436, Suite 1000, Apopka, Fl 32703	Apopka	Orange	Urgent Care	8Am-8Pm, 7 Days A Week	-	"Visitor Guidelines And Risk Screening
Visitation Procedures Are Designed For The Protection Of Our Patients And Employees.

-For Your Safety And The Safety Of Our Caregivers, Masks Are Required For Everyone Entering The Building.
-Upon Entry To The Building, Everyone Will Be Screened.
-If Symptomatic You And Any Accompanying Individual Will Be Asked To Put On A Face Mask Before Approaching The Front Desk.
-Patients Over The Age Of 18 Who Do Not Require Assistance Of A Caregiver Are Asked To Enter The Practice Alone.
-For Patients Under The Age Of 18 We Ask That Only One Parent Or Guardian Accompany The Patient To Their Appointment."	-	-	Carespot Urgent Care - Apopka	(407) 708-9677	Florida	Https://Www.Carespot.Com/Carespot-Urgent-Care/Apopka-Fl/	32703	28.7	-81.5
8132 Lee Vista Blvd, Unit B, Orlando, Fl 32839	Orlando	Orange	Urgent Care	8Am-8Pm, 7 Days A Week	-	"Visitor Guidelines And Risk Screening
Visitation Procedures Are Designed For The Protection Of Our Patients And Employees.

-For Your Safety And The Safety Of Our Caregivers, Masks Are Required For Everyone Entering The Building.
-Upon Entry To The Building, Everyone Will Be Screened.
-If Symptomatic You And Any Accompanying Individual Will Be Asked To Put On A Face Mask Before Approaching The Front Desk.
-Patients Over The Age Of 18 Who Do Not Require Assistance Of A Caregiver Are Asked To Enter The Practice Alone.
-For Patients Under The Age Of 18 We Ask That Only One Parent Or Guardian Accompany The Patient To Their Appointment."	-	-	Carespot Urgent Care - Lee Vista	(407) 204-1892	Florida	Https://Www.Carespot.Com/Carespot-Urgent-Care/Lee-Vista-Orlando-Fl/	32839	28.49	-81.41
2555 S Kirkman Road, Orlando, Fl 32811	Orlando	Orange	Urgent Care	8Am-8Pm, 7 Days A Week	-	"Visitor Guidelines And Risk Screening
Visitation Procedures Are Designed For The Protection Of Our Patients And Employees.

-For Your Safety And The Safety Of Our Caregivers, Masks Are Required For Everyone Entering The Building.
-Upon Entry To The Building, Everyone Will Be Screened.
-If Symptomatic You And Any Accompanying Individual Will Be Asked To Put On A Face Mask Before Approaching The Front Desk.
-Patients Over The Age Of 18 Who Do Not Require Assistance Of A Caregiver Are Asked To Enter The Practice Alone.
-For Patients Under The Age Of 18 We Ask That Only One Parent Or Guardian Accompany The Patient To Their Appointment."	-	-	Carespot Urgent Care - Metro West	(407) 624-5876	Florida	Https://Www.Carespot.Com/Carespot-Urgent-Care/Metro-West-Orlando-Fl/	32811	28.5	-81.45
10959 W Colonial Dr, Units 6 & 8, Ocoee, Fl 34761	Ocoee	Orange	Urgent Care	8Am-8Pm, 7 Days A Week	-	"Visitor Guidelines And Risk Screening
Visitation Procedures Are Designed For The Protection Of Our Patients And Employees.

-For Your Safety And The Safety Of Our Caregivers, Masks Are Required For Everyone Entering The Building.
-Upon Entry To The Building, Everyone Will Be Screened.
-If Symptomatic You And Any Accompanying Individual Will Be Asked To Put On A Face Mask Before Approaching The Front Desk.
-Patients Over The Age Of 18 Who Do Not Require Assistance Of A Caregiver Are Asked To Enter The Practice Alone.
-For Patients Under The Age Of 18 We Ask That Only One Parent Or Guardian Accompany The Patient To Their Appointment."	-	-	Carespot Urgent Care - Ocoee	(407) 801-4843	Florida	Https://Www.Carespot.Com/Carespot-Urgent-Care/Ocoee-Fl/	34761	28.57	-81.54
2323 S Orange Avenue, Orlando, Fl 32806	Orlando	Orange	Urgent Care	8Am-8Pm, 7 Days A Week	-	"Visitor Guidelines And Risk Screening
Visitation Procedures Are Designed For The Protection Of Our Patients And Employees.

-For Your Safety And The Safety Of Our Caregivers, Masks Are Required For Everyone Entering The Building.
-Upon Entry To The Building, Everyone Will Be Screened.
-If Symptomatic You And Any Accompanying Individual Will Be Asked To Put On A Face Mask Before Approaching The Front Desk.
-Patients Over The Age Of 18 Who Do Not Require Assistance Of A Caregiver Are Asked To Enter The Practice Alone.
-For Patients Under The Age Of 18 We Ask That Only One Parent Or Guardian Accompany The Patient To Their Appointment."	-	-	Carespot Urgent Care - South Orange	(407) 871-3324	Florida	Https://Www.Carespot.Com/Carespot-Urgent-Care/South-Orange-Orlando-Fl/	32806	28.51	-81.36
